Accuracy, Ncore, Bmodel, Blife, Weight, WS
50.225, 8, 1, 4.14170855832302, 140, 0.75
50.225, 8, 2, 8.28341711664605, 200, 0.75
50.225, 8, 3, 10.3542713958076, 248, 0.75
50.225, 8, 4, 12.4251256749691, 286, 0.75
50.225, 8, 1, 3.46506349728859, 140, 1.0
50.225, 8, 2, 6.93012699457718, 200, 1.0
50.225, 8, 3, 8.66265874322147, 248, 1.0
50.225, 8, 4, 10.3951904918658, 286, 1.0
50.225, 8, 2, 5.95692399337292, 200, 1.25
50.225, 8, 3, 7.44615499171615, 248, 1.25
50.225, 8, 4, 8.93538599005938, 286, 1.25
50.225, 8, 2, 5.22339821229196, 200, 1.5
50.225, 8, 3, 6.52924776536495, 248, 1.5
50.225, 8, 4, 7.83509731843794, 286, 1.5
48.275, 1, 1, 12.2062862374123, 90, 0.25
48.275, 1, 2, 24.4125724748245, 150, 0.25
48.275, 1, 3, 30.5157155935307, 198, 0.25
48.275, 1, 4, 36.6188587122368, 236, 0.25
48.275, 1, 1, 7.2020165646381, 90, 0.5
48.275, 1, 2, 14.4040331292762, 150, 0.5
48.275, 1, 3, 18.0050414115953, 198, 0.5
48.275, 1, 4, 21.6060496939143, 236, 0.5
48.275, 2, 1, 11.911071936919, 105, 0.25
48.275, 2, 2, 23.8221438738379, 165, 0.25
48.275, 2, 3, 29.7776798422974, 213, 0.25
48.275, 2, 4, 35.7332158107569, 251, 0.25
48.275, 2, 1, 7.52383173702704, 105, 0.5
48.275, 2, 2, 15.0476634740541, 165, 0.5
48.275, 2, 3, 18.8095793425676, 213, 0.5
48.275, 2, 4, 22.5714952110811, 251, 0.5
48.275, 2, 1, 5.49853876332365, 105, 0.75
48.275, 2, 2, 10.9970775266473, 165, 0.75
48.275, 2, 3, 13.7463469083091, 213, 0.75
48.275, 2, 4, 16.4956162899709, 251, 0.75
48.275, 2, 1, 4.3323426709759, 105, 1.0
48.275, 2, 2, 8.66468534195181, 165, 1.0
48.275, 2, 3, 10.8308566774398, 213, 1.0
48.275, 2, 4, 12.9970280129277, 251, 1.0
48.275, 4, 1, 9.84685676023643, 120, 0.25
48.275, 4, 2, 19.6937135204729, 180, 0.25
48.275, 4, 3, 24.6171419005911, 228, 0.25
48.275, 4, 4, 29.5405702807093, 266, 0.25
48.275, 4, 1, 6.98760747813752, 120, 0.5
48.275, 4, 2, 13.975214956275, 180, 0.5
48.275, 4, 3, 17.4690186953438, 228, 0.5
48.275, 4, 4, 20.9628224344126, 266, 0.5
48.275, 4, 1, 5.41518933532612, 120, 0.75
48.275, 4, 2, 10.8303786706522, 180, 0.75
48.275, 4, 3, 13.5379733383153, 228, 0.75
48.275, 4, 4, 16.2455680059784, 266, 0.75
48.275, 4, 1, 4.42045610266067, 120, 1.0
48.275, 4, 2, 8.84091220532135, 180, 1.0
48.275, 4, 3, 11.0511402566517, 228, 1.0
48.275, 4, 4, 13.261368307982, 266, 1.0
48.275, 4, 1, 3.73446114059779, 120, 1.25
48.275, 4, 2, 7.46892228119559, 180, 1.25
48.275, 4, 3, 9.33615285149449, 228, 1.25
48.275, 4, 4, 11.2033834217934, 266, 1.25
48.275, 4, 1, 3.23277778047176, 120, 1.5
48.275, 4, 2, 6.46555556094352, 180, 1.5
48.275, 4, 3, 8.0819444511794, 228, 1.5
48.275, 4, 4, 9.69833334141528, 266, 1.5
48.275, 8, 1, 7.45406432857516, 140, 0.25
48.275, 8, 2, 14.9081286571503, 200, 0.25
48.275, 8, 3, 18.6351608214379, 248, 0.25
48.275, 8, 4, 22.3621929857255, 286, 0.25
48.275, 8, 1, 5.94141762224467, 140, 0.5
48.275, 8, 2, 11.8828352444893, 200, 0.5
48.275, 8, 3, 14.8535440556117, 248, 0.5
48.275, 8, 4, 17.824252866734, 286, 0.5
48.275, 8, 1, 4.93912528091275, 140, 0.75
48.275, 8, 2, 9.8782505618255, 200, 0.75
48.275, 8, 3, 12.3478132022819, 248, 0.75
48.275, 8, 4, 14.8173758427383, 286, 0.75
48.275, 8, 1, 4.22618544501733, 140, 1.0
48.275, 8, 2, 8.45237089003465, 200, 1.0
48.275, 8, 3, 10.5654636125433, 248, 1.0
48.275, 8, 4, 12.678556335052, 286, 1.0
48.275, 8, 1, 3.6931031299049, 140, 1.25
48.275, 8, 2, 7.38620625980981, 200, 1.25
48.275, 8, 3, 9.23275782476226, 248, 1.25
48.275, 8, 4, 11.0793093897147, 286, 1.25
48.275, 8, 1, 3.27944118322238, 140, 1.5
48.275, 8, 2, 6.55888236644476, 200, 1.5
48.275, 8, 3, 8.19860295805594, 248, 1.5
48.275, 8, 4, 9.83832354966714, 286, 1.5
47.93, 1, 1, 12.2680570464653, 90, 0.25
47.93, 1, 2, 24.5361140929305, 150, 0.25
47.93, 1, 3, 30.6701426161632, 198, 0.25
47.93, 1, 4, 36.8041711393958, 236, 0.25
47.93, 1, 1, 7.24506429994566, 90, 0.5
